Test ID,Timestamp,Environment,Keyword,Status,Pass Percentage (%),Matched/Total,Status Color,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_121,2025-11-06T03:42:42.688Z,prod-api,countertop nugget ice maker (Ice Maker Refrigerator),PASS,10000.00%,6/6,#C8E6C9,1126,200,,1.14
TST_122,2025-11-06T03:42:45.412Z,prod-api,frigidaire gallery ice maker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,924,200,No results returned; requires manual review.,0.94
TST_123,2025-11-06T03:42:47.732Z,prod-api,home ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,575,200,,0.58
TST_124,2025-11-06T03:42:50.479Z,prod-api,whirlpool ice maker (Ice Maker Refrigerator),PASS,10000.00%,4/4,#C8E6C9,903,200,,0.92
TST_125,2025-11-06T03:42:53.590Z,prod-api,clear ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1151,200,,1.16
TST_126,2025-11-06T03:42:56.673Z,prod-api,counter ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1168,200,,1.18
TST_127,2025-11-06T03:42:59.198Z,prod-api,frigidaire nugget ice maker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,626,200,No results returned; requires manual review.,0.64
TST_128,2025-11-06T03:43:01.572Z,prod-api,ge nugget ice maker (Ice Maker Refrigerator),PASS,10000.00%,1/1,#C8E6C9,611,200,,0.62
TST_129,2025-11-06T03:43:03.808Z,prod-api,ice maker machine countertop (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,583,200,,0.6
TST_130,2025-11-06T03:43:06.075Z,prod-api,kitchenaid ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,760,200,,0.77
TST_131,2025-11-06T03:43:08.563Z,prod-api,mini ice maker (Ice Maker Refrigerator),PASS,10000.00%,2/2,#C8E6C9,568,200,,0.58
TST_132,2025-11-06T03:43:10.996Z,prod-api,refrigerator with ice maker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,597,200,,0.61
TST_133,2025-11-06T03:43:13.352Z,prod-api,icemaker (Ice Maker Refrigerator),PASS,10000.00%,100/100,#C8E6C9,363,200,,0.39
TST_134,2025-11-06T03:43:16.187Z,prod-api,ge icemaker (Ice Maker Refrigerator),PASS,10000.00%,2/2,#C8E6C9,733,200,,0.75
TST_135,2025-11-06T03:43:18.429Z,prod-api,whirlpool icemaker (Ice Maker Refrigerator),PASS,10000.00%,4/4,#C8E6C9,599,200,,0.61
TST_136,2025-11-06T03:43:20.455Z,prod-api,nugget icemaker (Ice Maker Refrigerator),PASS,10000.00%,8/8,#C8E6C9,616,200,,0.63
TST_137,2025-11-06T03:43:22.692Z,prod-api,kitchenaid icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,595,200,,0.61
TST_138,2025-11-06T03:43:25.650Z,prod-api,portable icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,923,200,,0.94
TST_139,2025-11-06T03:43:27.533Z,prod-api,icemakers (Ice Maker Refrigerator),PASS,10000.00%,100/100,#C8E6C9,158,200,,0.18
TST_140,2025-11-06T03:43:30.086Z,prod-api,fridge with icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,725,200,,0.74
TST_141,2025-11-06T03:43:32.934Z,prod-api,icemaker machine (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,703,200,,0.72
TST_142,2025-11-06T03:43:35.551Z,prod-api,refrigerator with icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,668,200,,0.68
TST_143,2025-11-06T03:43:38.751Z,prod-api,refrigerators with dual icemakers (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1034,200,,1.05
TST_144,2025-11-06T03:43:41.462Z,prod-api,undercounter icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,770,200,,0.79
TST_145,2025-11-06T03:43:44.417Z,prod-api,whirlpool refrigerator icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,874,200,,0.89
TST_146,2025-11-06T03:43:47.044Z,prod-api,countertop icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,595,200,,0.61
TST_147,2025-11-06T03:43:49.328Z,prod-api,frigidaire icemaker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,538,200,No results returned; requires manual review.,0.55
TST_148,2025-11-06T03:43:52.167Z,prod-api,home icemaker (Ice Maker Refrigerator),PASS,10000.00%,10/10,#C8E6C9,770,200,,0.78
TST_149,2025-11-06T03:43:54.574Z,prod-api,lg icemaker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,543,200,No results returned; requires manual review.,0.55
TST_150,2025-11-06T03:43:57.091Z,prod-api,subzero icemaker (Ice Maker Refrigerator),REVIEW,N/A,0/0,#FFE0B2,925,200,No results returned; requires manual review.,0.94
TST_151,2025-11-06T03:43:59.298Z,prod-api,wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,658,200,,0.67
TST_152,2025-11-06T03:44:01.476Z,prod-api,wine cooler fridge (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,607,200,,0.61
TST_153,2025-11-06T03:44:03.515Z,prod-api,wine enthusiast wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,645,200,,0.66
TST_154,2025-11-06T03:44:06.780Z,prod-api,under counter wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1268,200,,1.28
TST_155,2025-11-06T03:44:09.803Z,prod-api,undercounter ge wine cooler built in (Wine Cooler),PASS,10000.00%,1/1,#C8E6C9,767,200,,0.78
TST_156,2025-11-06T03:44:12.998Z,prod-api,frigidaire wine cooler (Wine Cooler),REVIEW,N/A,0/0,#FFE0B2,928,200,No results returned; requires manual review.,0.94
TST_157,2025-11-06T03:44:16.310Z,prod-api,vinotemp wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,917,200,,0.93
TST_158,2025-11-06T03:44:19.792Z,prod-api,wine cooler under counter (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1229,200,,1.24
TST_159,2025-11-06T03:44:22.977Z,prod-api,small wine cooler (Wine Cooler),PASS,10000.00%,1/1,#C8E6C9,1060,200,,1.07
TST_160,2025-11-06T03:44:25.938Z,prod-api,wine and beverage cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,709,200,,0.72
TST_161,2025-11-06T03:44:28.849Z,prod-api,wine cellar cooling unit (Wine Cooler),FAIL,0.00%,0/10,#FFCDD2,729,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",0.74
TST_162,2025-11-06T03:44:35.328Z,prod-api,wine cooler cabinet (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,997,200,,1.03
TST_163,2025-11-06T03:44:38.256Z,prod-api,beverage wine cooler refrigerator (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,872,200,,0.89
TST_164,2025-11-06T03:44:41.215Z,prod-api,haier wine cooler (Wine Cooler),REVIEW,N/A,0/0,#FFE0B2,894,200,No results returned; requires manual review.,0.92
TST_165,2025-11-06T03:44:43.457Z,prod-api,wine beverage cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,591,200,,0.61
TST_166,2025-11-06T03:44:46.020Z,prod-api,wine fridge cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,624,200,,0.64
TST_167,2025-11-06T03:44:48.534Z,prod-api,24 bottle wine cooler with glass storage (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,691,200,,0.7
TST_168,2025-11-06T03:44:50.970Z,prod-api,wine and beer cooler (Wine Cooler),FAIL,5000.00%,5/10,#FFCDD2,649,200,"Matched 5 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""GE Profile 2.1 Cu. Ft. Over-the-range Microwave with Sensor Cooking""}, {categoryName: ""Cooking"", productName: ""LG 30 Inch Over-the-Range Smart Microwave Oven with 1.7 cu. ft. Capacity, 300 CFM Exhaust, Air Fry, Convection Cooking, Sensor Cook, Add 30 Seconds - Stainless Steel""}, {categoryName: ""Cooking"", productName: ""Cafe 2.1 Cu. Ft. Over-the-Range Microwave Oven with Sensor Cooking in Stainless Steel""}",0.67
